                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.48067,                0.38476,                 1.0526,                0.96346,                0.99495,                0.98273,                0.88904,                 0.5308,                0.39713,                0.95445,              0.0002278,              0.0002278,              0.0002278
                     80,                0.50623,                0.41369,                 1.0738,                0.97434,                0.99495,                0.98088,                0.87834,                0.53514,                0.40936,                0.93688,              0.0002179,              0.0002179,              0.0002179
                     81,                0.49335,                0.39831,                 1.0664,                0.97652,                0.99495,                0.98072,                0.88332,                0.52009,                0.41046,                 0.9257,               0.000208,               0.000208,               0.000208
                     82,                0.48251,                0.38204,                 1.0475,                0.97719,                0.99495,                 0.9866,                0.88888,                0.50457,                0.38979,                0.91297,              0.0001981,              0.0001981,              0.0001981
                     83,                0.49206,                0.39925,                 1.0714,                0.97182,                0.99495,                 0.9885,                0.89608,                0.50063,                0.38316,                0.90815,              0.0001882,              0.0001882,              0.0001882
                     84,                0.47162,                0.38896,                 1.0474,                0.96763,                0.99495,                0.98309,                0.88381,                0.52367,                0.38069,                0.93011,              0.0001783,              0.0001783,              0.0001783
                     85,                0.45277,                0.36398,                 1.0433,                0.96754,                0.99495,                0.98453,                0.89121,                0.54271,                0.37636,                0.94792,              0.0001684,              0.0001684,              0.0001684
                     86,                0.47403,                0.36912,                 1.0434,                0.96951,                0.99495,                0.98379,                0.89161,                0.54567,                0.38802,                0.94678,              0.0001585,              0.0001585,              0.0001585
                     87,                 0.4589,                0.37857,                 1.0498,                0.96855,                0.99495,                0.98263,                0.88916,                0.53974,                0.37341,                0.93259,              0.0001486,              0.0001486,              0.0001486
                     88,                0.47805,                0.36633,                 1.0417,                0.97441,                0.99495,                0.98391,                0.89192,                0.54039,                0.36655,                0.93974,              0.0001387,              0.0001387,              0.0001387
